id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
247,0.921987,ospf,-,INT,20,0,1280,0,20.607666,254,0,10551.125,0.0,0,0,48.525633,0.0,52.253805,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,DoS,1
288,1.173262,tcp,-,FIN,16,12,2080,1746,23.012763,254,252,13296.2627,10916.57324,5,4,78.21747,100.93018,3940.719692,122.909242,255,2090124388,4091386222,255,0.176776,0.06238,0.114396,130,146,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS,1
337,1.438237,tcp,http,FIN,10,10,958,2726,13.210619,62,252,4800.321777,13650.0459,2,2,159.804111,152.291438,10857.72385,205.263688,255,750893150,797708189,255,0.141729,0.066968,0.074761,96,273,1,895,2,1,1,1,1,1,0,0,1,1,1,0,DoS,1
339,1.465404,tcp,http,FIN,10,10,800,1018,12.965707,62,252,3930.656494,5006.12793,2,2,162.822667,151.279328,10706.08605,215.94,255,3499888983,2363001486,255,0.252379,0.103293,0.149086,80,102,1,55,2,1,2,1,1,1,0,0,1,1,1,0,DoS,1
360,28.213135,ospf,-,INT,20,0,1280,0,0.673445,254,0,344.803925,0.0,0,0,1484.90175,0.0,1831.332375,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
361,28.213135,ospf,-,INT,20,0,1280,0,0.673445,254,0,344.803925,0.0,0,0,1484.90175,0.0,1831.332375,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
362,28.213135,ospf,-,INT,20,0,1280,0,0.673445,254,0,344.803925,0.0,0,0,1484.90175,0.0,1831.332375,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
377,0.466699,ospf,-,INT,18,0,2858,0,36.426047,254,0,46282.50781,0.0,0,0,27.452883,0.0,32.106723,0.0,0,0,0,0,0.0,0.0,0.0,159,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
378,0.466699,ospf,-,INT,18,0,2858,0,36.426047,254,0,46282.50781,0.0,0,0,27.452883,0.0,32.106723,0.0,0,0,0,0,0.0,0.0,0.0,159,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
416,0.417471,tcp,http,FIN,10,8,786,826,40.721392,62,252,13567.41016,13854.85449,2,2,46.284778,54.81557,2461.395282,76.150773,255,2120189938,2827257507,255,0.097739,0.033761,0.063978,79,103,1,14,1,1,1,1,1,1,0,0,1,1,1,0,DoS,1
423,0.338931,tcp,http,FIN,10,8,796,1024,50.157703,62,252,16923.79883,21148.84766,2,2,37.659,42.555,1937.961392,60.596176,255,967118013,4120194830,255,0.091635,0.040255,0.05138,80,128,1,90,2,1,1,1,1,1,0,0,1,1,1,0,DoS,1
428,7e-06,udp,snmp,INT,2,0,136,0,142857.1409,254,0,77714288.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,68,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,DoS,1
430,0.340732,tcp,http,FIN,10,8,842,1670,49.892583,254,252,17796.97852,34326.09766,2,2,37.859111,41.314715,1873.569022,59.201719,255,1662547502,1893834589,255,0.081875,0.050825,0.03105,84,209,1,430,1,1,1,1,1,1,0,0,1,1,1,0,DoS,1
447,35.181515,tcp,smtp,FIN,4144,622,5487011,26990,135.440445,254,252,1247402.125,6127.536133,2070,2,8.538973,56.776277,1048.108498,65.390594,255,1246500401,2594456459,255,0.079306,0.025946,0.05336,1324,43,0,0,1,1,1,1,1,2,0,0,0,1,1,0,DoS,1
466,3e-06,ip,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,4,2,3,4,3,3,0,0,0,5,3,0,DoS,1
467,3e-06,ip,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,4,2,3,4,3,3,0,0,0,5,3,0,DoS,1
470,3e-06,ipnip,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,4,2,3,4,3,3,0,0,0,5,3,0,DoS,1
471,3e-06,ipnip,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,4,2,3,4,3,3,0,0,0,5,3,0,DoS,1
476,1.007653,st2,-,INT,4,0,360,0,2.977215,254,0,2143.594971,0.0,0,0,335.884344,0.0,474.999437,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,DoS,1
477,1.007653,st2,-,INT,4,0,360,0,2.977215,254,0,2143.594971,0.0,0,0,335.884344,0.0,474.999437,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,DoS,1
482,8e-06,argus,-,INT,2,0,180,0,125000.0003,254,0,90000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,DoS,1
487,6e-06,egp,-,INT,2,0,180,0,166666.6608,254,0,119999992.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,DoS,1
488,6e-06,egp,-,INT,2,0,180,0,166666.6608,254,0,119999992.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,DoS,1
489,6e-06,egp,-,INT,2,0,180,0,166666.6608,254,0,119999992.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,DoS,1
492,6e-06,nvp,-,INT,2,0,180,0,166666.6608,254,0,119999992.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,DoS,1
498,3e-06,pup,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,DoS,1
501,3e-06,pup,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,DoS,1
512,1.246909,mux,-,INT,4,0,400,0,2.405949,254,0,1924.759521,0.0,0,0,415.636344,0.0,587.788625,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,DoS,1
514,0.489758,ospf,-,INT,20,0,1040,0,38.794669,254,0,16138.58203,0.0,0,0,25.776736,0.0,29.430768,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
515,1.246909,mux,-,INT,4,0,400,0,2.405949,254,0,1924.759521,0.0,0,0,415.636344,0.0,587.788625,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,DoS,1
516,57.237827,tcp,pop3,FIN,1642,11018,70700,14657531,221.164929,62,252,9875.567383,2048463.625,7,5507,34.901071,5.207182,2437.926717,928.124268,255,660150177,1867331307,255,0.048404,0.004971,0.043433,43,1330,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS,1
527,7.312841,ospf,-,INT,40,0,10880,0,5.333085,254,0,11604.79199,0.0,0,0,187.50875,0.0,215.203906,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,DoS,1
528,5e-06,hmp,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,DoS,1
529,7.312841,ospf,-,INT,40,0,10880,0,5.333085,254,0,11604.79199,0.0,0,0,187.50875,0.0,215.203906,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,DoS,1
530,5e-06,hmp,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,DoS,1
535,8e-06,prm,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,1,1,1,6,0,0,0,1,6,0,DoS,1
538,5e-06,trunk-1,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,3,3,3,6,0,0,0,5,6,0,DoS,1
544,5e-06,trunk-2,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,3,3,3,6,0,0,0,5,6,0,DoS,1
